# capture.sh  phase=3  task=magento-status-post  utc=2026-09-06T12:53:09Z
# host=hewlett-HP-Pavilion-Notebook  cwd=/home/aniruddha/Projects/oro_study
# command: scripts/magento-stack.sh status

project: docker_magento   running: 0   total: 16
NAMES                                      STATUS
docker_magento-newrelic-otel-collector-1   Exited (0) 16 seconds ago
docker_magento-newrelic-infra-1            Exited (0) 15 seconds ago
docker_magento-php-fpm-1                   Exited (0) 15 seconds ago
docker_magento-opensearch-exporter-1       Exited (2) 15 seconds ago
docker_magento-varnish-exporter-1          Exited (137) 5 seconds ago
docker_magento-php-fpm-exporter-1          Exited (0) 15 seconds ago
docker_magento-mysql-exporter-1            Exited (2) 15 seconds ago
docker_magento-varnish-1                   Exited (0) 15 seconds ago
docker_magento-newrelic-php-daemon-1       Exited (0) 16 seconds ago
docker_magento-phpmyadmin-1                Exited (0) 15 seconds ago
docker_magento-tls-proxy-1                 Exited (0) 16 seconds ago
docker_magento-nginx-1                     Exited (0) 15 seconds ago
docker_magento-redis-1                     Exited (0) 15 seconds ago
docker_magento-mysql-1                     Exited (0) 14 seconds ago
docker_magento-opensearch-1                Exited (143) 15 seconds ago
docker_magento-rabbitmq-1                  Exited (0) 14 seconds ago

# exit_code=0
